Population Description	Population Code	Super Population	DNA from Blood	Offspring available from trios	Pilot Samples	Phase1 Samples	Final Phase Samples	Total
Chinese Dai in Xishuangbanna, China	CDX	EAS	no	yes	0	0	99	99
Han Chinese in Bejing, China	CHB	EAS	no	no	91	97	103	106
Japanese in Tokyo, Japan	JPT	EAS	no	no	94	89	104	105
Kinh in Ho Chi Minh City, Vietnam	KHV	EAS	yes	yes	0	0	101	101
Southern Han Chinese, China	CHS	EAS	no	yes	0	100	108	112
Bengali in Bangladesh	BEB	SAS	no	yes	0	0	86	86
Gujarati Indian in Houston,TX	GIH	SAS	no	yes	0	0	106	106
Indian Telugu in the UK	ITU	SAS	yes	yes	0	0	103	103
Punjabi in Lahore,Pakistan	PJL	SAS	yes	yes	0	0	96	96
Sri Lankan Tamil in the UK	STU	SAS	yes	yes	0	0	103	103
African Ancestry in Southwest US	ASW	AFR	no	yes	0	61	66	66
African Caribbean in Barbados	ACB	AFR	yes	yes	0	0	96	96
Esan in Nigeria	ESN	AFR	no	yes	0	0	99	99
Gambian in Western Division, The Gambia	GWD	AFR	no	yes	0	0	113	113
Luhya in Webuye, Kenya	LWK	AFR	no	yes	102	97	101	116
Mende in Sierra Leone	MSL	AFR	no	yes	0	0	85	85
Yoruba in Ibadan, Nigeria	YRI	AFR	no	yes	106	88	109	116
British in England and Scotland	GBR	EUR	no	yes	0	89	92	94
Finnish in Finland	FIN	EUR	no	no	0	93	99	100
Iberian populations in Spain	IBS	EUR	no	yes	0	14	107	107
Toscani in Italy	TSI	EUR	no	no	66	98	108	110
Utah residents with Northern and Western European ancestry	CEU	EUR	no	yes	94	85	99	103
Colombian in Medellin, Colombia	CLM	AMR	no	yes	0	60	94	95
Mexican Ancestry in Los Angeles, California	MXL	AMR	no	yes	0	66	67	69
Peruvian in Lima, Peru	PEL	AMR	yes	yes	0	0	86	86
Puerto Rican in Puerto Rico	PUR	AMR	yes	yes	0	55	105	105
Total					553	1092	2535	2577
								
								
